,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,GDP_GA,pop_65_above,hosp_beds,Exports_of_goods_services,Agriculture_forestry_fishing_value_added,GDP_per_capital,Gross_capital_formation,Total_debt_service,Risk_of_impoverishing_expenditure_for_surgical_care,Air_transport_registered_carrier_departures_worldwide,High_technology_exports,date,country,Total Cases
56,279.0,763.0,4.0,49138.0,187.0,2811.0,51.0,20418.0,296.0,420361.0,162827.0,49.0,3384.0,6.0,108.0,2.0,-0.606085760066293,3.60805442307769,42.4,35.82148264667121,7.06957453139642,5037.34262919263,14.6333077002704,36.7607593344111,21.5,1806.0,0.23688364113664,2021-05-22,Namibia,52712
57,490.8,784.0,12.4,48449.0,393.8,2387.0,1.0,21566.0,328.0,1111863.0,464508.0,46.0,3053.0,2.0,206.0,5.040000000000001,3.02591005447894,4.36589534127101,41.6,33.7905759285941,1.94698290352683,7970.79696800641,33.2571172666349,3.06191263149955,16.0,6361.0,0.385021903024053,2021-05-22,Botswana,51620
58,123.0,912.0,8.0,23742.0,161.2,23245.0,16.0,16113.0,307.0,364551.0,122635.0,62.0,3259.0,8.0,41.0,3.0,0.8922916538222271,8.922391673243949,13.9,38.0360807474106,7.019602138518491,5369.4983713849,24.2690954889352,36.7607593344111,10.6,593922.7166256711,3.0647808194813995,2021-05-22,Jamaica,47899
59,68.0,298.0,1.8,46346.0,64.0,298.0,16.6,1741.0,11.0,619741.0,22991.0,574.0,90454.0,43.0,3.0,0.064,6.728310547810684,3.74435380036428,33.9,15.66982872101966,20.029151166473845,1132.5858140061525,34.44374916771402,17.25071668082418,37.519999999999996,245387.0,3.0597621386328244,2021-05-22,Ivory Coast,46942
60,39.0,1130.0,1.0,39738.0,28.0,194.0,7.0,2397.0,66.0,505708.0,29516.0,417.0,15162.0,34.0,2.0,0.06,4.40240683638351,3.09847644542059,45.3,24.3102656999259,14.986481139613499,1430.1482590016199,31.9335540377641,6.448559183737418,28.8,5980.0,0.9353411441203828,2021-05-22,Senegal,41062
61,15.0,1586.0,2.6,36445.0,10.0,648.0,1.0,2569.0,105.0,458624.0,30464.0,389.0,9492.0,33.0,1.0,0.154,-8.09999999999999,2.9806080625078,54.6,24.68750603592748,21.286056694252775,1156.1548636013902,21.653305558779916,2.97396271923147,33.36,11921.2,4.95468911174707,2021-05-22,Zimbabwe,38679
62,50.2,2568.0,8.0,27949.0,93.6,4554.0,9.8,784.0,57.0,232965.0,5205.0,1276.0,17428.0,192.0,1.1600000000000001,0.176,-1.32642451017379,3.62731732647738,58.4,8.479523775720281,21.7655449536899,753.282174142999,14.349922159518002,3.75375799985315,46.1,3116.0,7.255989391583951,2021-05-22,Sudan,35071
63,240.0,715.0,6.0,26775.0,262.0,4659.0,16.0,952.0,21.0,544183.0,16116.0,1050.0,47227.0,62.0,7.0,0.2,-0.624644317706895,2.19934175001363,74.7,39.3438256954007,6.66070380425936,2809.6260883912896,19.785653095065697,27.359897827319397,36.6,13647.0,1.06257050637448,2021-05-22,Angola,32149
64,165.0,256.0,2.0,26657.0,201.0,2285.0,23.0,52014.0,456.0,158645.0,282615.0,19.0,2193.0,4.0,294.0,4.0,5.66775246034304,4.698373444134309,14.9,50.6492920155385,4.63290603790788,3603.775240584621,35.4187615724755,5.911873926381482,12.6,10205.0,2.638052182506704,2021-05-22,Cabo Verde,29198
65,57.0,349.0,1.0,24967.0,98.2,1342.0,1.0,2014.0,26.0,1400892.0,105841.0,497.0,37925.0,9.0,4.0,0.096,9.46068248236998,3.02825306190331,34.3,21.808766466325306,23.543656696549,820.1492885585941,23.189981757999806,7.4915096366946194,57.2,19419.0,10.5516007481183,2021-05-22,Rwanda,26658
66,488.0,167.0,2.0,17164.0,640.0,7314.0,24.0,1456.0,10.0,1106010.0,65351.0,687.0,101342.0,15.0,29.0,0.1,7.054106932333242,4.717769196232902,26.6,61.091296522810296,20.7118706884342,1643.12138876475,24.2334887288228,6.941531906923139,40.1,14850.0,1.19402149535541,2021-05-22,Cambodia,24645
67,52.6,147.0,1.4,20976.0,164.8,2984.0,23.0,10610.0,65.0,785631.0,345766.0,94.0,15457.0,3.0,24.0,0.4800000000000001,3.94494620364154,3.5447272573287303,42.5,50.673181937439395,5.55441626649173,7767.016979429541,22.2269993201122,8.10900991036701,7.0,593922.7166256711,2.638052182506704,2021-05-22,Gabon,24107
68,56.0,1729.0,5.0,21534.0,20.0,789.0,23.0,1345.0,97.0,103566.0,5793.0,743.0,10339.0,173.0,3.0,0.3,0.864683536234422,5.936875909802273,41.7,24.683300535586977,23.25300401553978,7576.667659365956,19.68434306633742,8.10900991036701,26.560000000000002,110738.8,8.513165843029613,2021-05-22,Syria,24052
69,1185.0,176.0,8.0,21709.0,1169.6,1681.0,31.0,26156.0,195.0,102720.0,114008.0,38.0,5119.0,9.0,1314.6,9.0,1.328247415128134,6.428558724862917,24.580000000000002,49.5632563605756,8.66499380618111,6139.942626305636,40.7045071943589,5.149214020877589,34.0,3012.0,12.5217991222859,2021-05-22,Réunion,23566
70,205.4,112.0,1.4,9995.0,4.0,12673.0,27.0,74562.0,367.0,246436.0,806617.0,13.0,2728.0,1.0,672.2,4.4,2.414082395576073,7.4501942859848125,45.161179859970446,36.43930812188519,18.479945679947747,14035.596310300922,21.25884546533238,5.149214020877589,31.439999999999998,603902.5166256712,3.3881505141366177,2021-05-22,French Guiana,22780
71,7.0,171.0,1.4,2964.0,8.8,17041.0,6.0,72411.0,614.0,176919.0,634958.0,14.0,1629.0,2.0,24.4,1.8599999999999999,1.8643638136932033,13.021991526324197,23.341179859970445,45.222529578577564,14.8674953560159,14949.800875801015,19.537602362673177,5.565673267443939,24.139999999999997,240655.51662567118,13.725483863449227,2021-05-22,Mayotte,20176
72,509.0,365.0,17.0,11314.0,215.0,7765.0,15.0,13854.0,260.0,164648.0,117311.0,72.0,3845.0,9.0,363.0,12.0,-1.24642733552926,11.118208022664199,17.5,19.255781288986697,1.15941163336651,16637.1629387697,9.700407062483844,8.10900991036701,33.36,35175.0,2.638052182506704,2021-05-22,Trinidad and Tobago,19444
73,4.4,141.0,3.8,18677.0,7.4,26.0,1.0,66740.0,499.0,26355.0,93341.0,15.0,2002.0,11.0,15.6,6.8,1.4410329666048975,8.68067615033997,19.621179859970443,44.36265156757512,5.319843452028868,11876.239774880149,30.020509812575984,26.921186874035538,13.918071789593531,756904.8332513432,11.738122105659766,2021-05-22,French Polynesia,18844
